"12","54","3","cl"
"82","54","1/2","tsp"
"28","55","1.5","cl"
"83","55","1.5","cl"
"12","55","3","cl"
"12","56","6","cl"
"84","56","3","cl"
"85","56","1","tsp"
"35","56","1","tsp"
"10","57","30","ml"
"12","57","30","ml"
"86","57","45","ml"
"44","57","1/2","glass"
"12","58","6","cl"
"69","58","1.5","cl"
"22","58","2","tsp"
"20","58","1","twist"
"66","59","1","1/2"
"12","59","4.5","cl"
"17","59","2","dashes"
"87","60","3","cl"
"12","60","3","cl"
"88","60","12","cl"
"12","61","4.5","cl"
"89","61","1.5","cl"
"90","61","1.5","cl"
"34","62","2.3","cl"
"12","62","2.3","cl"
"81","62","2.3","cl"
"42","62","","cl"
"20","62","","cl"
"91","63","1","dash"
"92","63","3","cl"
"12","63","3","cl"
"66","63","3","cl"
"12","64","4.5","cl"
"14","64","1.5","cl"
"64","64","1.5","cl"
"17","64","2","dashes"
"50","64","1","dashes"
"20","64","1","twist"
"12","65","50","ml"
"77","65","20","ml"
"93","65","15","ml"
"19","65","75","ml"
"35","65","1","ml"
"94","65","1","long"
"12","66","6","cl"
"81","66","1.5","cl"
"17","66","2","dashes"
"37","66","1/2","tsp"
"50","66","1","tsp"
"12","67","4.5","cl"
"14","67","3","cl"
"22","67","1","tsp"
"31","67","1/2","tsp"
"26","67","1","tsp"
"12","68","4","cl"
"89","68","1.5","cl"
"30","68","1","cl"
"95","68","1.5","cl"
"12","69","6","cl"
"37","69","1/4","tsp"
"22","69","1/4","tsp"
"71","69","2","dashes"
"33","69","1","dashes"
"12","70","6","cl"
"22","70","1.5","cl"
"37","70","1","tsp"
"71","70","1","dash"
"96","70","1","dash"
"12","71","3","cl"
"13","71","3","cl"
"10","71","3","cl"
"97","71","3","cl"
"98","71","3","cl"
"99","71","3","cl"
"16","71","3","cl"
"100","71","9","cl"
"12","72","4.5","cl"
"31","72","2","tsp"
"18","72","Juice","of"
"26","72","1","of"
"12","73","2.3","cl"
"98","73","2.3","cl"
"101","73","2.3","cl"
"70","73","2.3","cl"
"102","73","1","dash"
"103","74","6","cl"
"104","74","2","dashes"
"27","74","2","Fresh"
"12","75","4.5","cl"
"23","75","12","cl"
"35","75","1","cl"
"105","76","4.5","cl"
"12","76","2.3","cl"
"17","76","1","dash"
"20","76","1","twist"
"34","77","2.3","cl"
"12","77","2.3","cl"
"66","77","2.3","cl"
"42","77","","cl"
"20","77","","cl"
"28","78","2.3","cl"
"12","78","4.5","cl"
"81","78","2.3","cl"
"31","78","1","tsp"
"22","78","1/4","tsp"
"33","78","1","tsp"
"12","79","6","cl"
"14","79","1.5","cl"
"12","80","4.5","cl"
"25","80","2","tsp"
"22","80","4.5","cl"
"106","80","12","cl"
"29","80","1","cl"
"50","80","1","cl"
"12","81","4.5","cl"
"25","81","2","tsp"
"22","81","4.5","cl"
"106","81","12","cl"
"29","81","1","cl"
"50","81","1","cl"
"12","82","3","cl"
"107","82","3","cl"
"66","82","3","cl"
"108","82","1","cl"
"12","83","4.5","cl"
"34","83","3","cl"
"66","83","3","cl"
"100","83","3","cl"
"12","84","7.5","cl"
"109","84","1.5","cl"
"110","84","1.5","cl"
"35","84","1","cl"
"12","85","6","cl"
"88","85","15","cl"
"35","85","1","cl"
"12","86","6","cl"
"42","86","","cl"
"41","86","","cl"
"111","86","","cl"
"20","86","","cl"
"12","87","6","cl"
"22","87","3","cl"
"25","87","1/2","tsp"
"31","87","1/2","tsp"
"50","87","1","tsp"
"29","87","1","tsp"
"12","88","6","cl"
"18","88","Juice","of"
"41","88","1","tsp"
"42","88","","tsp"
"12","89","6","cl"
"31","89","1","tsp"
"112","89","Juice","of"
"113","89","Top","up"
"35","89","Garnish","up"
"12","90","6","cl"
"18","90","Juice","of"
"41","90","1","tsp"
"58","90","1","tsp"
"114","90","Twist","of"
"12","91","6","cl"
"42","91","3","cl"
"25","91","1","cube"
"27","91","4","cube"
"29","91","1","slice"
"33","91","1","slice"
"12","92","6","cl"
"22","92","3","cl"
"25","92","1/2","tsp"
"29","92","1","tsp"
"50","92","1","tsp"
"12","93","4.5","cl"
"31","93","1","tsp"
"41","93","1","tblsp"
"45","93","3","chunks"
"62","93","2","chunks"
"42","93","","chunks"
"24","94","4.5","cl"
"25","94","1","tsp"
"12","94","6","cl"
"17","94","1","dash"
"100","94","9","cl"
"12","95","6","cl"
"58","95","2","tsp"
"41","95","1/2","tsp"
"20","95","1","twist"
"12","96","4.5","cl"
"14","96","3","cl"
"46","96","3","cl"
"31","96","1/2","tsp"
"45","96","1","tsp"
"12","97","6","cl"
"14","97","1.5","cl"
"46","97","1","tblsp"
"24","98","4","cl"
"12","98","2","cl"
"115","98","4","cl"
"12","99","4.5","cl"
"92","99","1.5","cl"
"80","99","1.5","cl"
"12","100","2","jiggers"
"10","100","1","jigger"
"31","100","3","dashes"
